,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Region,Institution Type,Enrolled Students,Faculty,Ratio,Year
,01 - Ilocos Region,Private,140765,3437,1:41,2024
,01 - Ilocos Region,SUC,103763,4717,1:22,2024
,01 - Ilocos Region,LUC,32493,,,2024
,01 - Ilocos Region,OGS,0,0,0,2024
,02 - Cagayan Valley,Private,90728,3078,1:29,2024
,02 - Cagayan Valley,SUC,109914,2201,1:50,2024
,02 - Cagayan Valley,LUC,0,0,0,2024
,02 - Cagayan Valley,OGS,0,0,0,2024
,03 - Central Luzon,Private,240488,8132,1:30,2024
,03 - Central Luzon,SUC,221992,6235,1:36,2024
,03 - Central Luzon,LUC,64073,,,2024
,03 - Central Luzon,OGS,0,0,0,2024
,04 - CALABARZON,Private,357706,13778,1:26,2024
,04 - CALABARZON,SUC,244174,6879,1:35,2024
,04 - CALABARZON,LUC,74401,,,2024
,04 - CALABARZON,OGS,1075,,,2024
,05 - Bicol Region,Private,142395,5288,1:27,2024
,05 - Bicol Region,SUC,120279,5825,1:21,2024
,05 - Bicol Region,LUC,56938,,,2024
,05 - Bicol Region,OGS,0,0,0,2024
,06 - Western Visayas,Private,179636,7426,1:24,2024
,06 - Western Visayas,SUC,179444,4475,1:40,2024
,06 - Western Visayas,LUC,30926,,,2024
,06 - Western Visayas,OGS,0,0,0,2024
,07 - Central Visayas,Private,231628,8733,1:27,2024
,07 - Central Visayas,SUC,136194,9394,1:14,2024
,07 - Central Visayas,LUC,39200,,,2024
,07 - Central Visayas,OGS,0,0,0,2024
,08 - Eastern Visayas,Private,65594,2195,1:30,2024
,08 - Eastern Visayas,SUC,141785,3616,1:39,2024
,08 - Eastern Visayas,LUC,11111,,,2024
,08 - Eastern Visayas,OGS,0,0,0,2024
,09 - Zamboanga Peninsula,Private,76445,3095,1:25,2024
,09 - Zamboanga Peninsula,SUC,87758,3748,1:23,2024
,09 - Zamboanga Peninsula,LUC,4095,,,2024
,09 - Zamboanga Peninsula,OGS,0,0,0,2024
,10 - Northern Mindanao,Private,126312,4330,1:29,2024
,10 - Northern Mindanao,SUC,86584,4522,1:19,2024
,10 - Northern Mindanao,LUC,42320,,,2024
,10 - Northern Mindanao,OGS,0,0,0,2024
,11 - Davao Region,Private,178361,6533,1:27,2024
,11 - Davao Region,SUC,54266,5300,1:10,2024
,11 - Davao Region,LUC,25832,,,2024
,11 - Davao Region,OGS,0,0,0,2024
,12 - Socsksargen,Private,170517,3605,1:47,2024
,12 - Socsksargen,SUC,50886,4326,1:12,2024
,12 - Socsksargen,LUC,7036,,,2024
,12 - Socsksargen,OGS,0,0,0,2024
,13 - Nat. Capital Region,Private,507077,23460,1:22,2024
,13 - Nat. Capital Region,SUC,179836,10777,1:17,2024
,13 - Nat. Capital Region,LUC,107403,,,2024
,13 - Nat. Capital Region,OGS,932,,,2024
,14 - Cordillera Adm. Region,Private,87947,2162,1:41,2024
,14 - Cordillera Adm. Region,SUC,61896,1711,1:36,2024
,14 - Cordillera Adm. Region,LUC,0,0,0,2024
,14 - Cordillera Adm. Region,OGS,0,0,0,2024
,16 - Caraga,Private,60425,2192,1:28,2024
,16 - Caraga,SUC,62612,1759,1:36,2024
,16 - Caraga,LUC,982,,,2024
,16 - Caraga,OGS,0,0,0,2024
,17 - MIMAROPA,Private,45125,1254,1:36,2024
,17 - MIMAROPA,SUC,94617,2386,1:40,2024
,17 - MIMAROPA,LUC,4643,,,2024
,17 - MIMAROPA,OGS,0,0,0,2024
,Ilocos Region ,Private,273,11,1:25,2019
,Ilocos Region ,Private,62,6,1:10,2019
,Ilocos Region ,Private,63,5,1:13,2019
,Ilocos Region ,Private,195,5,1:39,2019
,Ilocos Region ,Private,383,19,1:20,2019
,Ilocos Region ,Private,117,9,1:13,2019
,Ilocos Region ,Private,25,10,1:3,2019
,Ilocos Region ,Private,728,39,1:19,2019
,Ilocos Region ,Private,6731,65,1:104,2019
,Ilocos Region ,Private,238,17,1:14,2019
,Ilocos Region ,Private,107,28,1:4,2019
,Ilocos Region ,Private,50,18,1:3,2019
,Ilocos Region ,Private,1798,61,1:29,2019
,Ilocos Region ,Private,19,7,1:3,2019
,Ilocos Region ,Private,1254,88,1:14,2019
,Ilocos Region ,Private,20,11,1:2,2019
,Ilocos Region ,Private,497,49,1:10,2019
,Ilocos Region ,Private,678,31,1:22,2019
,Ilocos Region ,Private,63,13,1:5,2019
,Ilocos Region ,Private,75,20,1:4,2019
,Ilocos Region ,Private,782,46,1:17,2019
,Ilocos Region ,Private,90,30,1:3,2019
,Ilocos Region ,Private,14,10,1:1,2019
,Ilocos Region ,Private,138,11,1:13,2019
,Ilocos Region ,Private,2566,138,1:19,2019
,Ilocos Region ,Private,5718,18,1:318,2019
,Ilocos Region ,Private,152,11,1:14,2019
,Ilocos Region ,Private,1561,52,1:30,2019
,Ilocos Region ,Private,6175,125,1:49,2019
,Ilocos Region ,Private,71,25,1:3,2019
,Ilocos Region ,Private,30,12,1:3,2019
,Ilocos Region ,Private,565,29,1:19,2019
,Ilocos Region ,Private,8,13,1:1,2019
,Ilocos Region ,Private,42,15,1:3,2019
,Ilocos Region ,Private,78,18,1:4,2019
,Ilocos Region ,Private,580,39,1:15,2019
,Ilocos Region ,Private,238,12,1:20,2019
,Ilocos Region ,Private,187,20,1:9,2019
,Ilocos Region ,Private,132,21,1:6,2019
