Region,Year,Enrolled Students,Faculty,Ratio,Ratio Value,Personnel Budget (PHP),Maintenance & Other Expenses (PHP),Capital Outlays (PHP),Total Budget (PHP)
CAR - Cordillera Administrative Region,2019,169781.0,8594.0,19.75575983244124,1:20,13354000.0,2932000.0,1857000.0,18143000.0
CAR - Cordillera Administrative Region,2024,149843.0,3873.0,38.68912987348309,1:39,18945000.0,3801000.0,0.0,22746000.0
NCR - National Capital Region,2019,499795.0,23024.0,21.707566018068103,1:22,18575000.0,8517000.0,2241000.0,29309000.0
NCR - National Capital Region,2024,795248.0,34237.0,23.227736075006572,1:23,18794000.0,10381000.0,0.0,29175000.0
Region I - Ilocos Region,2019,130821.0,6060.0,21.58762376237624,1:22,16519000.0,4097000.0,2241000.0,22857000.0
Region I - Ilocos Region,2024,277021.0,8154.0,33.973632572970324,1:34,13625000.0,5109000.0,0.0,18734000.0
Region II - Cagayan Valley,2019,102470.0,4497.0,22.786301979097175,1:23,21067000.0,4106000.0,1857000.0,27030000.0
Region II - Cagayan Valley,2024,200642.0,5279.0,38.007577192650125,1:38,13583000.0,3465000.0,0.0,17048000.0
Region III - Central Luzon,2019,257953.0,10884.0,23.700202131569277,1:24,16313000.0,4243000.0,1857000.0,22413000.0
Region III - Central Luzon,2024,526553.0,14367.0,36.650170529686086,1:37,18126000.0,3680000.0,15000000.0,36806000.0
Region IV-A - CALABARZON,2019,321391.0,14384.0,22.343645717463847,1:22,10387000.0,3434000.0,1857000.0,15678000.0
Region IV-A - CALABARZON,2024,677356.0,20657.0,32.790627874328315,1:33,19017000.0,4659000.0,0.0,23676000.0
Region IV-B - MIMAROPA,2019,79527.0,3488.0,22.800172018348626,1:23,17340000.0,4060000.0,1857000.0,23257000.0
Region IV-B - MIMAROPA,2024,144385.0,3640.0,39.66620879120879,1:40,12031000.0,3080000.0,0.0,15111000.0
Region IX - Zamboanga Peninsula,2019,129221.0,4895.0,26.398569969356487,1:26,17957000.0,3781000.0,1857000.0,23595000.0
Region IX - Zamboanga Peninsula,2024,168298.0,6843.0,24.594183837498175,1:25,15463000.0,3842000.0,0.0,19305000.0
Region V - Bicol Region,2019,137040.0,6808.0,20.129259694477085,1:20,20138000.0,4629000.0,1857000.0,26624000.0
Region V - Bicol Region,2024,319612.0,11113.0,28.76019076756951,1:29,18278000.0,3965000.0,0.0,22243000.0
Region VI - Western Visayas,2019,196806.0,9509.0,20.69681354506257,1:21,17751000.0,6684000.0,1857000.0,26292000.0
Region VI - Western Visayas,2024,390006.0,11901.0,32.77085959163095,1:33,21363000.0,4236000.0,0.0,25599000.0
Region VII - Central Visayas,2019,145737.0,6541.0,22.280538144014677,1:22,16864000.0,4259000.0,1857000.0,22980000.0
Region VII - Central Visayas,2024,407022.0,18127.0,22.453908534230706,1:22,19320000.0,6258000.0,0.0,25578000.0
Region VIII - Eastern Visayas,2019,156905.0,7163.0,21.904928102750244,1:22,20078000.0,4285000.0,1857000.0,26220000.0
Region VIII - Eastern Visayas,2024,218490.0,5811.0,37.599380485286524,1:38,19514000.0,4277000.0,0.0,23791000.0
Region X - Northern Mindanao,2019,126198.0,6164.0,20.47339390006489,1:20,16427000.0,3709000.0,1857000.0,21993000.0
Region X - Northern Mindanao,2024,255216.0,8852.0,28.831450519656574,1:29,17789000.0,4286000.0,0.0,22075000.0
Region XI - Davao Region,2019,140825.0,6145.0,22.91700569568755,1:23,14019000.0,3736000.0,1857000.0,19612000.0
Region XI - Davao Region,2024,258459.0,11833.0,21.8422209076312,1:22,16221000.0,3499000.0,0.0,19720000.0
Region XII - SOCCSKSARGEN,2019,111841.0,4995.0,22.39059059059059,1:22,12400000.0,4265000.0,1857000.0,18522000.0
Region XII - SOCCSKSARGEN,2024,228439.0,7931.0,28.803303492623883,1:29,15038000.0,3349000.0,0.0,18387000.0
Region XIII - Caraga,2019,64731.0,2842.0,22.776565798733287,1:23,12400000.0,4265000.0,1857000.0,18522000.0
Region XIII - Caraga,2024,124019.0,3951.0,31.389268539610224,1:31,13387000.0,3824000.0,0.0,17211000.0
